word ; frequency
$emotion*$ ; 12
$emotion+$ ; 8
$foreign$ ; 53
$laugh$ ; 32
$name$ ; 80
$oov$ ; 10
a ; 4
abraçar ; 1
acesse ; 1
acho ; 1
aconteça ; 1
adivinha ; 1
adorar ; 1
agora ; 2
ah ; 1
ainda ; 1
alguém ; 1
amava ; 1
amigos ; 1
andando ; 1
ano ; 3
ao ; 1
aqui ; 1
as ; 3
até ; 1
aula ; 1
aço ; 1
aí ; 3
banho ; 1
beijo ; 1
beijos ; 2
bem ; 1
bicicleta ; 1
blogspot ; 1
bolo ; 1
bom ; 3
brigadeiro ; 1
buscar ; 1
cabeça ; 1
cai ; 1
caminho ; 1
cause ; 1
caçula ; 1
certeza ; 1
chata ; 1
chatinho ; 1
chato ; 1
chatos ; 1
chinchila ; 1
chocado ; 1
chocolate ; 1
chorar ; 1
chorei ; 1
coisa ; 2
colei ; 1
com ; 4
come ; 1
começar ; 1
comigo ; 1
como ; 2
compra ; 1
comprei ; 1
comprou ; 1
concordam ; 1
configurações ; 1
conseguimos ; 2
conta ; 1
coração ; 1
correio ; 1
criativas ; 1
cuidem ; 1
culpa ; 1
curiosa ; 1
curta ; 1
da ; 1
dancei ; 1
dançar ; 1
dar ; 1
dd ; 5
de ; 19
deixar ; 1
depois ; 1
desse ; 1
dia ; 2
dindinha ; 3
direito ; 1
do ; 5
don ; 1
dor ; 1
dos ; 1
dúvida ; 1
e ; 9
ela ; 2
em ; 2
emoção ; 1
encontrar ; 1
equipe ; 1
era ; 1
escutei ; 1
especial ; 1
espero ; 1
esquece ; 1
essa ; 4
esse ; 2
estiloso ; 1
estou ; 2
estudar ; 1
está ; 4
eu ; 11
falei ; 1
falou ; 2
faltam ; 2
faça ; 1
feliz ; 2
fez ; 1
fica ; 1
ficar ; 3
ficou ; 2
filme ; 1
fiquei ; 1
fiz ; 2
fofo ; 2
folgada ; 1
fomos ; 1
for ; 1
fotos ; 3
fui ; 2
fácil ; 1
galã ; 1
gente ; 1
gigantes ; 1
go ; 3
grato ; 1
hein ; 1
http ; 2
importa ; 1
importei ; 1
incríveis ; 1
inteiro ; 1
irmão ; 1
is ; 1
isso ; 1
it ; 2
japinha ; 1
jeito ; 1
jogado ; 1
lado ; 1
legal ; 2
lembre-se ; 1
lembro ; 1
lendo ; 1
leão ; 1
lindo ; 1
livre ; 3
livro ; 1
logo ; 1
lp ; 1
lugar ; 1
lá ; 1
mais ; 2
mal ; 1
manas ; 1
maninho ; 2
mas ; 3
matei ; 1
maçã ; 1
me ; 5
melancia ; 1
melhor ; 1
menininho ; 1
mesma ; 1
mesmo ; 1
meu ; 3
mim ; 3
momento ; 1
morango ; 1
mudar ; 1
mudei ; 1
muito ; 8
música ; 2
na ; 2
nada ; 1
nas ; 1
nem ; 2
no ; 2
nom ; 1
nome ; 2
novo ; 1
novos ; 1
nunca ; 1
não ; 10
nós ; 1
o ; 24
obrigada ; 1
of ; 2
olha ; 3
olhar ; 1
out ; 1
outros ; 1
pais ; 1
para ; 2
parecia ; 1
participarem ; 1
passeio ; 1
pela ; 1
perdi ; 1
perfeito ; 1
pijama ; 1
pior ; 1
piscina ; 1
pode ; 1
poder ; 2
por ; 1
porque ; 1
pose ; 1
posso ; 1
pra ; 13
precisa ; 1
precisava ; 1
presença ; 1
previsão ; 1
princesa ; 1
privacidade ; 1
pro ; 1
prometido ; 1
propósito ; 1
prova ; 1
provavelmente ; 1
quando ; 1
quase ; 1
que ; 13
queimei ; 1
queridinho ; 1
quero ; 5
quis ; 1
quiser ; 1
re ; 13
relaxa ; 1
reprovado ; 1
resisti ; 1
ri ; 1
rir ; 1
sabia ; 1
safada ; 1
se ; 1
seguir ; 1
sem ; 1
sempre ; 2
ser ; 1
seria ; 1
seu ; 6
seus ; 1
sim ; 1
sobremesas ; 1
sol ; 1
somos ; 1
sorrir ; 1
sozinho ; 1
sua ; 1
sub ; 1
suficiente ; 1
são ; 1
só ; 5
t ; 3
tal ; 1
também ; 2
tanto ; 1
tempo ; 1
terá ; 1
to ; 4
trocando ; 1
tudo ; 1
tão ; 2
tédio ; 1
um ; 4
vai ; 4
valeu ; 2
valor ; 1
vento ; 1
ver ; 3
vestido ; 1
viajei ; 1
visitar ; 1
você ; 9
vocês ; 2
www ; 1
x ; 6
é ; 10
