word ; frequency
$emotion*$ ; 2599
$emotion+$ ; 2103
$emotion-$ ; 452
$foreign$ ; 85528
$laugh$ ; 12105
$name$ ; 91011
$oov$ ; 8540
a ; 40241
a1-noturno ; 1
aa ; 18
ab ; 5
aba ; 9
abacate ; 21
abacaxi ; 7
abadas ; 1
abadás ; 1
abafa ; 1
abafada ; 1
abafado ; 3
abafando ; 1
abafar ; 5
abaixa ; 11
abaixada ; 3
abaixam ; 2
abaixar ; 5
abaixar-se ; 1
abaixarem ; 1
abaixasse ; 1
abaixe ; 2
abaixei ; 1
abaixem ; 1
abaixo ; 101
abaixo-assinado ; 4
abaixo-assinados ; 1
abaixou ; 1
abajur ; 3
abala ; 9
abalada ; 2
abaladíssima ; 1
abalam ; 2
abalando ; 3
abalar ; 10
abalaram ; 1
abale ; 1
abalem ; 1
abalou ; 2
abana ; 3
abanada ; 1
abanando ; 2
abanda ; 1
abando ; 1
abandona ; 14
abandonada ; 12
abandonadas ; 2
abandonado ; 11
abandonados ; 8
abandonam ; 1
abandonamos ; 1
abandonando ; 3
abandonar ; 37
abandonar-se ; 1
abandonara ; 2
abandonaram ; 6
abandonarem ; 1
abandonaste ; 1
abandonastes ; 1
abandone ; 5
abandonei ; 7
abandonem ; 1
abandono ; 12
abandonou ; 12
abandonou-me ; 1
abarcando ; 1
abarrotadas ; 1
abas ; 6
abastados ; 1
abastece ; 1
abastecem ; 1
abastecendo ; 3
abastecer ; 4
abastecimento ; 11
abasteço ; 1
abata ; 1
abate ; 8
abatedouro ; 1
abater ; 6
abatera ; 1
abatida ; 1
abatido ; 5
abatidos ; 1
abatimento ; 1
abatimentos ; 1
abato ; 1
abaçaiado ; 2
abc ; 21
abdica ; 1
abdicado ; 1
abdicar ; 3
abdome ; 1
abdomes ; 1
abdominais ; 2
abdominal ; 3
abduzida ; 2
abduzido ; 1
abdômen ; 1
abe ; 7
abedecedário ; 1
abelha ; 4
abelhas ; 16
abelhinha ; 1
abelhinhas ; 1
abençoa ; 19
abençoa-me ; 1
abençoa-nos ; 1
abençoada ; 70
abençoadas ; 5
abençoado ; 62
abençoados ; 13
abençoai ; 6
abençoai-os ; 1
abençoando ; 28
abençoando-nos ; 1
abençoar ; 40
abençoaram ; 1
abençoarem ; 1
abençoasse ; 1
abençoe ; 241
abençoem ; 1
abençoo ; 1
abençoou ; 2
abençoou-a ; 1
abençoá-la ; 1
abençoá-lo ; 1
abençoá-los ; 1
aberração ; 4
aberrações ; 1
aberta ; 88
abertamente ; 6
abertas ; 42
aberto ; 84
abertos ; 33
abertura ; 55
aberturas ; 1
abestada ; 1
abestado ; 2
abestalhado ; 1
abinha ; 1
abismada ; 1
abismado ; 3
abismados ; 1
abismo ; 16
abismos ; 2
abissal ; 1
abitolada ; 1
ablutofobia ; 1
abluções ; 1
abnegação ; 1
abnt ; 8
abobrinha ; 11
abocanhá-lo ; 1
